CorelogicDataId,Usage
26123,2
31142,4
49256,2
49610,2
50164,4
51417,2
66312,2
75339,2
80371,4
154011,3
168978,4
179033,2
199944,3
214340,2
214432,2
217922,2
222864,2
222942,2
228770,2
229371,2
249019,4
253824,2
292298,3
309199,2
369459,2
373536,2
374094,2
375446,2
375455,2
383760,3
385022,2
394603,3
402557,2
409227,2
411705,2
413640,3
426177,2
447446,2
455985,3
457044,3
474666,2
489133,3
491428,3
495767,3
503050,2
503198,2
518724,2
528120,3
528356,2
532043,2
534271,2
537793,2
542144,3
544337,2
548554,2
552688,2
560189,3
583315,2
585955,3
590083,2
600820,3
605505,2
607492,2
610395,2
668033,2
672841,2
701276,4
708981,2
718609,2
742694,2
764302,2
798036,2
799984,3
843690,3
847788,2
855013,3
890523,2
900957,2
903991,2
934279,2
963585,3
984441,2
997105,2
1015842,2
1038028,3
1049552,2
1063070,4
1064045,2
1185366,2
1193166,2
1201717,2
1218143,2
1258499,5
1357088,2
1383378,4
1410379,2
1449238,4
1453849,2
1461231,2
1471318,4
1473449,2
1478796,4
1480044,2
1484542,2
1492537,2
1498073,3
1512811,4
1519779,2
1527333,2
1545033,2
1545617,3
1570467,2
1578438,2
1621090,2
1623645,3
1627264,4
1663231,3
1691448,2
1697570,2
1697949,2
1699032,2
1714517,2
1719777,2
1749766,2
1769417,4
1773040,2
1784702,2
1801643,2
1807392,2
1812136,2
1826044,4
1831610,3
1834942,4
1842902,3
1843372,2
1849670,3
1852654,2
1892008,2
1908391,2
1920723,3
1922112,3
1922179,2
1922574,3
1926700,3
1961309,2
1978485,2
1982127,3
2001073,2
2006788,2
2039714,2
2044842,2
2078739,2
2080291,2
2081879,2
2106446,3
2108084,2
2139532,2
2156659,2
2165708,3
2168340,2
2168495,2
2174376,2
2179691,3
2187056,2
2226433,4
2260001,2
2271474,4
2328754,2
2374551,2
2565680,2
2593391,2
2652827,2
2669687,5
2847218,2
2900983,4
2930952,2
2935734,2
2944507,2
2989743,2
3001243,2
3046673,2
3076416,4
3082031,5
3087748,2
3107001,4
3132553,2
3176488,2
3185510,2
3189350,5
3272908,3
3633767,2
3643867,3
3664917,2
3666392,2
3681546,2
3683443,4
3688572,3
3741308,2
3897544,2
3993383,2
4184188,2
4266248,2
4386055,2
4449576,5
4795750,2
4795800,5
4879048,5
4881468,2
5012283,2
5179470,2
5195630,2
5416358,2
5491381,2
5598703,2
5608688,2
5698991,2
5735017,2
5748551,2
5780971,2
5792083,4
5797609,2
5812276,3
5815893,2
5838999,2
5850640,5
5891243,2
5891798,2
5906351,5
5913986,3
5930480,2
6011027,2
6043700,3
6049570,2
6068241,2
6078906,2
6086097,2
6088315,4
6089243,2
6092005,2
6092733,2
6140235,2
6155018,4
6196767,4
6255111,5
6285748,2
6299271,2
6341233,2
6424045,2
6493353,5
6508285,4
6515489,2
6549275,2
6572504,2
6610457,2
6611163,2
6620173,2
6704264,2
6732001,5
6748983,2
6753130,2
6755462,5
6758065,2
6759858,5
6795395,2
6957415,2
7007474,2
7067617,2
7073155,2
7190884,2
7244382,2
7252864,4
7268445,2
7270838,2
7277899,4
7301005,2
7314574,3
7337365,2
7345277,2
7347405,2
7495703,2
7505432,2
7525436,2
7528108,2
7552166,2
7552270,2
7552560,2
7571961,5
7610643,2
8229130,2
8233275,2
8253397,2
8314781,4
8322490,2
8337984,2
8344149,2
8348795,2
8473905,2
8589797,2
8690368,2
8705022,5
8857222,2
8998805,2
9012089,2
9019517,2
9023584,4
9034976,2
9061973,4
9175575,2
9205733,2
9209037,2
9214856,2
9217070,4
9310180,2
9346215,2
9351822,2
9357538,2
9360427,2
9414887,2
9424186,2
9451553,2
9458235,2
9464826,2
9472666,2
9483227,2
9484438,2
9487548,2
9490046,2
9490948,2
9493421,2
9493923,4
9494322,4
9495093,5
9497972,2
9509881,2
9512502,2
9533718,4
9542837,2
9550999,4
9561887,2
9568073,4
9568210,2
9569302,2
9576388,4
9594321,5
9598480,2
9604948,2
9607989,4
9633032,3
9650004,2
9663508,2
9829927,2
9833385,2
9854496,2
9869775,5
9883202,2
9884792,2
9907312,5
9925216,2
9934175,2
9938073,2
9947958,2
10017066,2
10021678,4
10026115,2
10029128,2
10203507,2
10205594,3
10273640,2
10308921,2
10355950,2
10369504,5
10630295,2
10635789,4
10823250,2
10830179,2
10830717,2
10832116,2
10835430,2
10896392,2
10903081,4
10904783,2
10906370,2
10910816,4
10926940,2
10932793,4
10936542,4
10995068,2
11009293,2
11013890,2
11037745,2
11054599,2
11107217,2
11107550,2
11126450,2
11129695,2
11131296,2
11270495,2
11283645,2
11295513,2
11464895,4
11496694,2
11526138,4
11549039,2
11566461,2
11607935,2
11667687,2
11673940,4
11697966,2
11733401,2
11762194,2
11767417,2
11774102,2
11792546,2
11815987,3
11820254,2
11820292,2
11861017,2
11862928,2
11869478,2
11872795,4
11882677,3
11884420,2
11885946,2
11888622,2
11897768,3
11899564,2
11904275,2
11908795,2
11909694,2
11912553,4
11912888,2
11927057,2
12011016,2
12013439,2
12093119,2
12153213,2
12231897,2
12266270,4
12369601,2
12392747,4
12432681,2
12455259,4
12464090,2
12468704,5
12474501,3
12486583,2
12486680,2
12488953,4
12518014,2
12542156,4
12545233,2
12546105,2
12550042,4
12617527,2
12625458,2
12631549,2
12675763,2
12678636,3
12686410,2
12687114,4
12688345,2
12705525,2
12718593,4
12722863,2
12729389,2
12732043,2
12740397,2
12752408,2
12775942,4
12781448,2
12787281,4
12788435,2
12796417,4
12834424,2
12843737,5
12851209,2
12854655,5
12860516,2
12862433,2
12878294,4
12894359,3
12901870,2
12908653,2
12918661,4
12935473,2
12936494,2
12944046,2
12944391,4
12950203,3
12951221,2
12957893,2
12961429,2
12965341,2
12969665,2
12971059,2
12974254,2
12976578,2
12976935,2
12979040,4
12985834,2
13027338,4
13029961,2
13035586,2
13036564,2
13036811,2
13043799,5
13073924,2
13077927,2
13099748,2
13118104,4
13118482,4
13120020,2
13124372,2
13126277,2
13130608,5
13132404,5
13135937,4
13147277,2
13154571,3
13166188,2
13177725,2
13206791,3
13219309,4
13238044,4
13249225,2
13269901,2
13274338,5
13283635,4
13289451,2
13321765,4
13374542,2
13381150,2
13391803,4
13395724,3
13404092,3
13433526,4
13439843,2
13464735,2
13465000,2
13467846,2
13479573,2
13479776,2
13489531,2
13497616,4
13505526,3
13517415,2
13535085,2
13540238,2
13577713,2
13582455,2
13591037,2
13603150,2
13604720,2
13606663,2
13607385,2
13610484,5
13611188,2
13619485,2
13627871,2
13632531,2
13651987,2
13662023,2
13663419,2
13665647,2
13669068,2
13691910,3
13727445,2
13761229,2
13762211,2
13805837,2
13818903,5
13846853,2
13848441,4
13850237,2
13852791,2
13858520,4
13861099,2
13883636,2
13884617,2
13890659,2
13892455,2
13897684,2
13911114,4
13915001,5
13930177,2
13931792,2
13943277,2
14026541,2
14041048,2
14102990,2
14116213,2
14157674,2
14223666,3
14229571,2
14254949,2
14268820,2
14277311,2
14278506,2
14291238,4
14296933,2
14307798,2
14307827,3
14320420,2
14322960,2
14328190,2
14356714,2
14360231,2
14369649,2
14373046,2
14392042,3
14392403,5
14405834,5
14443005,2
14445211,5
14470394,2
14471978,4
14486800,2
14490091,2
14510210,3
14535790,2
14549201,2
14561673,2
14568053,2
14572486,2
14580262,2
14588976,2
14625059,3
14658593,2
14672352,2
14692489,3
14702472,2
14719350,2
14723479,2
14727138,4
14729927,4
14731245,4
14735757,2
14742292,2
14766206,2
14766861,2
14768333,2
14768395,2
14769902,2
14770758,2
14772290,2
14775130,2
14794607,4
14816558,2
14818227,2
14873915,2
14876847,2
14977701,2
14986578,2
14995089,2
14996930,2
15080391,4
15083323,2
15122318,2
15122698,2
15124616,4
15130277,4
15142619,3
15164708,2
15182297,2
15199974,2
15200933,2
15204587,2
15205004,2
15217942,4
15225397,2
15232794,4
15235725,2
15249028,2
